"filename", "language", "Python", "Markdown", "XML", "TypeScript JSX", "JSON", "comment", "blank", "total"
"c:\dev-fg\GPT-Games\Tactic\Utils\imageResizer.py", "Python", 23, 0, 0, 0, 0, 8, 10, 41
"c:\dev-fg\GPT-Games\Tactic\Utils\imageSplit.py", "Python", 23, 0, 0, 0, 0, 13, 8, 44
"c:\dev-fg\GPT-Games\Tactic\Utils\lsprofcalltree.py", "Python", 100, 0, 0, 0, 0, 9, 24, 133
"c:\dev-fg\GPT-Games\Tactic\Utils\rename.py", "Python", 14, 0, 0, 0, 0, 11, 10, 35
"c:\dev-fg\GPT-Games\Tactic\Vector2D.py", "Python", 83, 0, 0, 0, 0, 23, 30, 136
"c:\dev-fg\GPT-Games\Tactic\assets\maps\harbor.tsx", "TypeScript JSX", 0, 0, 0, 215, 0, 0, 1, 216
"c:\dev-fg\GPT-Games\Tactic\assets\maps\helipad.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 1, 10
"c:\dev-fg\GPT-Games\Tactic\assets\maps\menu.tmx", "XML", 0, 0, 61, 0, 0, 0, 1, 62
"c:\dev-fg\GPT-Games\Tactic\assets\maps\mergeTiles.py", "Python", 39, 0, 0, 0, 0, 3, 14, 56
"c:\dev-fg\GPT-Games\Tactic\assets\maps\merged_all.tsx", "TypeScript JSX", 0, 0, 0, 1489, 0, 0, 1, 1490
"c:\dev-fg\GPT-Games\Tactic\assets\maps\small_house3_color1.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 1, 5
"c:\dev-fg\GPT-Games\Tactic\assets\maps\terrain1.tmx", "XML", 0, 0, 54, 0, 0, 0, 1, 55
"c:\dev-fg\GPT-Games\Tactic\assets\maps\terrain2.tmx", "XML", 0, 0, 68, 0, 0, 0, 1, 69
"c:\dev-fg\GPT-Games\Tactic\assets\maps\tree1.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 1, 5
"c:\dev-fg\GPT-Games\Tactic\assets\maps\tree2.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 1, 5
"c:\dev-fg\GPT-Games\Tactic\assets\maps\tree3.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 1, 5
"c:\dev-fg\GPT-Games\Tactic\assets\maps\trees.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 1, 5
"c:\dev-fg\GPT-Games\Tactic\assets\walking.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 1, 35
"c:\dev-fg\GPT-Games\Tactic\atlas-starter.py", "Python", 54, 0, 0, 0, 0, 38, 24, 116
"c:\dev-fg\GPT-Games\Tactic\box.py", "Python", 63, 0, 0, 0, 0, 12, 24, 99
"c:\dev-fg\GPT-Games\Tactic\client.py", "Python", 26, 0, 0, 0, 0, 2, 8, 36
"c:\dev-fg\GPT-Games\Tactic\config.py", "Python", 106, 0, 0, 0, 0, 2, 20, 128
"c:\dev-fg\GPT-Games\Tactic\data\countries.json", "JSON", 0, 0, 0, 0, 1668, 0, 0, 1668
"c:\dev-fg\GPT-Games\Tactic\data\country-names.json", "JSON", 0, 0, 0, 0, 207, 0, 1, 208
"c:\dev-fg\GPT-Games\Tactic\data\names-male.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\dev-fg\GPT-Games\Tactic\data\player.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\dev-fg\GPT-Games\Tactic\data\unitSettings.json", "JSON", 0, 0, 0, 0, 202, 0, 0, 202
"c:\dev-fg\GPT-Games\Tactic\data\userSettings.json", "JSON", 0, 0, 0, 0, 4, 0, 0, 4
"c:\dev-fg\GPT-Games\Tactic\grid - Copy.py", "Python", 398, 0, 0, 0, 0, 69, 114, 581
"c:\dev-fg\GPT-Games\Tactic\grid.py", "Python", 447, 0, 0, 0, 0, 75, 132, 654
"c:\dev-fg\GPT-Games\Tactic\instructions.md", "Markdown", 0, 26, 0, 0, 0, 0, 29, 55
"c:\dev-fg\GPT-Games\Tactic\instructions.py", "Python", 87, 0, 0, 0, 0, 6, 26, 119
"c:\dev-fg\GPT-Games\Tactic\intersect.py", "Python", 89, 0, 0, 0, 0, 45, 38, 172
"c:\dev-fg\GPT-Games\Tactic\letterColor.py", "Python", 51, 0, 0, 0, 0, 10, 17, 78
"c:\dev-fg\GPT-Games\Tactic\menu.py", "Python", 112, 0, 0, 0, 0, 1, 27, 140
"c:\dev-fg\GPT-Games\Tactic\path.py", "Python", 44, 0, 0, 0, 0, 15, 15, 74
"c:\dev-fg\GPT-Games\Tactic\plank.py", "Python", 124, 0, 0, 0, 0, 10, 37, 171
"c:\dev-fg\GPT-Games\Tactic\plank2.py", "Python", 234, 0, 0, 0, 0, 31, 43, 308
"c:\dev-fg\GPT-Games\Tactic\server.py", "Python", 144, 0, 0, 0, 0, 12, 36, 192
"c:\dev-fg\GPT-Games\Tactic\stick-man copy.py", "Python", 318, 0, 0, 0, 0, 37, 103, 458
"c:\dev-fg\GPT-Games\Tactic\stick-man.py", "Python", 191, 0, 0, 0, 0, 25, 64, 280
"c:\dev-fg\GPT-Games\Tactic\stick-man2.py", "Python", 40, 0, 0, 0, 0, 8, 11, 59
"c:\dev-fg\GPT-Games\Tactic\stick-man3.py", "Python", 906, 0, 0, 0, 0, 84, 147, 1137
"Total", "-", 8372, 26, 183, 1767, 2083, 1007, 2163, 15601
